sample_id,timestamp,pred_proba,pred_label,state
1523,2026-05-22T09:00:00+09:00,0.0005,0,NORMAL
1218,2026-05-22T09:05:00+09:00,1e-04,0,NORMAL
1264,2026-05-22T09:10:00+09:00,0.0962,0,NORMAL
1183,2026-05-22T09:15:00+09:00,0.0005,0,NORMAL
198,2026-05-22T09:20:00+09:00,0.0622,0,NORMAL
594,2026-05-22T09:25:00+09:00,1e-04,0,NORMAL
765,2026-05-22T09:30:00+09:00,1e-04,0,NORMAL
847,2026-05-22T09:35:00+09:00,1e-04,0,NORMAL
1235,2026-05-22T09:40:00+09:00,1e-04,0,NORMAL
1321,2026-05-22T09:45:00+09:00,1e-04,0,NORMAL
1468,2026-05-22T09:50:00+09:00,0.0047,0,NORMAL
744,2026-05-22T09:55:00+09:00,0.0002,0,NORMAL
775,2026-05-22T10:00:00+09:00,1e-04,0,NORMAL
867,2026-05-22T10:05:00+09:00,0.0011,0,NORMAL
45,2026-05-22T10:10:00+09:00,1e-04,0,NORMAL
1564,2026-05-22T10:15:00+09:00,0.0003,0,NORMAL
1157,2026-05-22T10:20:00+09:00,0.0147,0,NORMAL
1323,2026-05-22T10:25:00+09:00,1e-04,0,NORMAL
1121,2026-05-22T10:30:00+09:00,1e-04,0,NORMAL
888,2026-05-22T10:35:00+09:00,0.0002,0,NORMAL
253,2026-05-22T10:40:00+09:00,0.1612,0,NORMAL
171,2026-05-22T10:45:00+09:00,0.0004,0,NORMAL
352,2026-05-22T10:50:00+09:00,0.0009,0,NORMAL
411,2026-05-22T10:55:00+09:00,0.0008,0,NORMAL
21,2026-05-22T11:00:00+09:00,0.3348,0,WARNING
1425,2026-05-22T11:05:00+09:00,0.3592,0,WARNING
1425,2026-05-22T11:10:00+09:00,0.3592,0,WARNING
1425,2026-05-22T11:15:00+09:00,0.3592,0,WARNING
172,2026-05-22T11:20:00+09:00,0.3523,0,WARNING
41,2026-05-22T11:25:00+09:00,0.4928,0,WARNING
1309,2026-05-22T11:30:00+09:00,0.9833,1,ANOMALY
545,2026-05-22T11:35:00+09:00,0.7972,1,ANOMALY
1006,2026-05-22T11:40:00+09:00,0.9782,1,ANOMALY
463,2026-05-22T11:45:00+09:00,0.685,1,ANOMALY
208,2026-05-22T11:50:00+09:00,0.817,1,ANOMALY
999,2026-05-22T11:55:00+09:00,0.7163,1,ANOMALY
261,2026-05-22T12:00:00+09:00,0.5912,1,ANOMALY
1088,2026-05-22T12:05:00+09:00,0.982,1,ANOMALY
780,2026-05-22T12:10:00+09:00,0.8183,1,ANOMALY
707,2026-05-22T12:15:00+09:00,1e-04,0,NORMAL
130,2026-05-22T12:20:00+09:00,1e-04,0,NORMAL
1083,2026-05-22T12:25:00+09:00,0.0002,0,NORMAL
1330,2026-05-22T12:30:00+09:00,0.0003,0,NORMAL
1304,2026-05-22T12:35:00+09:00,0.0124,0,NORMAL
935,2026-05-22T12:40:00+09:00,1e-04,0,NORMAL
1222,2026-05-22T12:45:00+09:00,0.0027,0,NORMAL
748,2026-05-22T12:50:00+09:00,1e-04,0,NORMAL
1264,2026-05-22T12:55:00+09:00,0.0962,0,NORMAL
317,2026-05-22T13:00:00+09:00,0.0023,0,NORMAL
1196,2026-05-22T13:05:00+09:00,1e-04,0,NORMAL
765,2026-05-22T13:10:00+09:00,1e-04,0,NORMAL
